"HAUL","VESSEL","CRUISE","SPECIES_CODE","REGION","START_TIME","STRATUM","STATIONID","BOTTOM_DEPTH","START_LATITUDE","START_LONGITUDE","SPECIMENID","COMMON_NAME","SEX","LENGTH","WEIGHT","CATCH_WEIGHT","YEAR","BIOMASS","VARBIO","LOWERB","UPPERB"
2,162,201002,21740,"BS",2010-08-05 07:34:39,999,"W-25",63,62.32582,-173.81928,1,"walleye pollock",3,120,10,0.154,2010,21140.98,19743500.7276,12254.25,30027.71
2,162,201002,21740,"BS",2010-08-05 07:34:39,999,"W-25",63,62.32582,-173.81928,2,"walleye pollock",3,130,14,0.154,2010,21140.98,19743500.7276,12254.25,30027.71
3,162,201002,21740,"BS",2010-08-05 10:16:14,999,"W-26",70,62.32398,-174.53585,3,"walleye pollock",3,140,14,0.88,2010,21140.98,19743500.7276,12254.25,30027.71
3,162,201002,21740,"BS",2010-08-05 10:16:14,999,"W-26",70,62.32398,-174.53585,4,"walleye pollock",3,130,14,0.88,2010,21140.98,19743500.7276,12254.25,30027.71
9,162,201002,21720,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,1,"Pacific cod",2,410,846,13.86,2010,29123.89,43399093.4674,15948.29,42299.49
9,162,201002,21720,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,2,"Pacific cod",1,690,4108,13.86,2010,29123.89,43399093.4674,15948.29,42299.49
9,162,201002,21720,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,3,"Pacific cod",1,720,5092,13.86,2010,29123.89,43399093.4674,15948.29,42299.49
9,162,201002,21720,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,4,"Pacific cod",1,670,3620,13.86,2010,29123.89,43399093.4674,15948.29,42299.49
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,1,"yellowfin sole",2,300,364,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,2,"yellowfin sole",2,220,146,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,3,"yellowfin sole",2,260,238,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,4,"yellowfin sole",2,210,128,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,5,"yellowfin sole",2,370,670,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,6,"yellowfin sole",2,380,936,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,7,"yellowfin sole",1,260,254,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,8,"yellowfin sole",1,270,280,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,9,"yellowfin sole",1,280,268,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,10,"yellowfin sole",1,240,204,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
9,162,201002,10210,"BS",2010-08-06 13:33:37,999,"ZZ-23",63,63.34127,-172.6869,11,"yellowfin sole",1,220,134,4.09,2010,427375.32,2306542883.7021,331322.36,523428.29
10,162,201002,21720,"BS",2010-08-06 16:11:12,999,"Y-23",60,63.01703,-172.60907,5,"Pacific cod",1,710,3642,3.83,2010,29123.89,43399093.4674,15948.29,42299.49
11,162,201002,21740,"BS",2010-08-06 18:52:55,999,"X-23",53,62.68162,-172.45557,5,"walleye pollock",3,120,10,2.746,2010,21140.98,19743500.7276,12254.25,30027.71
11,162,201002,21740,"BS",2010-08-06 18:52:55,999,"X-23",53,62.68162,-172.45557,6,"walleye pollock",3,120,8,2.746,2010,21140.98,19743500.7276,12254.25,30027.71
14,162,201002,21740,"BS",2010-08-07 12:48:29,999,"V-24",58,62.01412,-173.0444,7,"walleye pollock",3,120,10,2.418,2010,21140.98,19743500.7276,12254.25,30027.71
14,162,201002,21740,"BS",2010-08-07 12:48:29,999,"V-24",58,62.01412,-173.0444,8,"walleye pollock",3,110,8,2.418,2010,21140.98,19743500.7276,12254.25,30027.71
15,162,201002,21740,"BS",2010-08-07 15:27:52,999,"U-24",65,61.6815,-173.08012,9,"walleye pollock",3,120,12,0.212,2010,21140.98,19743500.7276,12254.25,30027.71
15,162,201002,21740,"BS",2010-08-07 15:27:52,999,"U-24",65,61.6815,-173.08012,10,"walleye pollock",3,100,8,0.212,2010,21140.98,19743500.7276,12254.25,30027.71
16,162,201002,21720,"BS",2010-08-07 18:17:06,999,"T-24",68,61.34813,-172.91573,6,"Pacific cod",2,250,136,0.136,2010,29123.89,43399093.4674,15948.29,42299.49
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,19,"yellowfin sole",2,160,50,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,20,"yellowfin sole",2,310,436,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,1,"yellowfin sole",1,230,166,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,2,"yellowfin sole",1,180,68,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,3,"yellowfin sole",1,190,92,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,4,"yellowfin sole",1,170,46,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,5,"yellowfin sole",1,220,142,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,6,"yellowfin sole",1,200,104,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,7,"yellowfin sole",1,150,36,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,8,"yellowfin sole",2,280,284,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,9,"yellowfin sole",2,340,460,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,10,"yellowfin sole",2,380,636,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,11,"yellowfin sole",2,200,98,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,12,"yellowfin sole",2,360,586,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,13,"yellowfin sole",2,220,144,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,14,"yellowfin sole",2,210,138,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,15,"yellowfin sole",2,290,332,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,16,"yellowfin sole",2,250,188,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,17,"yellowfin sole",2,190,84,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
1,89,201002,10210,"BS",2010-07-30 14:25:21,999,"R-18",38,60.655,-168.6925,18,"yellowfin sole",2,350,622,416.25,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,21,"yellowfin sole",2,360,506,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,22,"yellowfin sole",2,260,182,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,23,"yellowfin sole",2,350,530,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,24,"yellowfin sole",2,340,510,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,25,"yellowfin sole",2,370,620,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,26,"yellowfin sole",2,230,146,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,27,"yellowfin sole",2,190,88,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,28,"yellowfin sole",2,400,750,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,29,"yellowfin sole",2,330,454,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,30,"yellowfin sole",2,280,286,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,31,"yellowfin sole",2,240,156,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,32,"yellowfin sole",2,210,114,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,33,"yellowfin sole",2,200,98,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,34,"yellowfin sole",2,180,62,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,35,"yellowfin sole",2,300,344,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,36,"yellowfin sole",2,250,134,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,37,"yellowfin sole",2,310,344,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,38,"yellowfin sole",2,270,234,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,39,"yellowfin sole",2,220,140,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
4,89,201002,10210,"BS",2010-07-31 07:15:57,999,"U-18",37,61.65305,-168.80163,40,"yellowfin sole",2,170,50,378.045,2010,427375.32,2306542883.7021,331322.36,523428.29
8,89,201002,10210,"BS",2010-07-31 18:17:07,999,"Y-18",29,62.93715,-168.986,44,"yellowfin sole",1,210,114,422.386,2010,427375.32,2306542883.7021,331322.36,523428.29
8,89,201002,10210,"BS",2010-07-31 18:17:07,999,"Y-18",29,62.93715,-168.986,45,"yellowfin sole",1,230,136,422.386,2010,427375.32,2306542883.7021,331322.36,523428.29
8,89,201002,10210,"BS",2010-07-31 18:17:07,999,"Y-18",29,62.93715,-168.986,46,"yellowfin sole",1,220,118,422.386,2010,427375.32,2306542883.7021,331322.36,523428.29
8,89,201002,10210,"BS",2010-07-31 18:17:07,999,"Y-18",29,62.93715,-168.986,47,"yellowfin sole",1,190,88,422.386,2010,427375.32,2306542883.7021,331322.36,523428.29
8,89,201002,10210,"BS",2010-07-31 18:17:07,999,"Y-18",29,62.93715,-168.986,48,"yellowfin sole",1,200,92,422.386,2010,427375.32,2306542883.7021,331322.36,523428.29
8,89,201002,10210,"BS",2010-07-31 18:17:07,999,"Y-18",29,62.93715,-168.986,49,"yellowfin sole",1,180,72,422.386,2010,427375.32,2306542883.7021,331322.36,523428.29
